conversation_id,emotion_response_sentence
1000133841.txt,"And I felt like I really dealt with it very well and I said, ""I don't feel as though I can."
1000133841.txt,"[55:43]</p> Almost, Scott, except that I - because I felt -</p> Well in a way he did except that I really felt in control of myself."
1000133841.txt,It was just though I was shouting because I was angry and I was letting the anger out and I was picking - the thing that makes me feel like I was in some control is that I think I was being very careful about what I said and how I said it.
1000133841.txt,I guess I feel a need to deal with that and I just - it's almost like that's intolerable to me.
1000133841.txt,"Part of expressing why I'm angry or how it is to deal with the anger and sometimes it's out of trying to deal out whether it's really something I ought to be angry about, if I ought to - if it's something worth bringing up and creating anything out of."
1000133841.txt,"</p> Yeah, I don't really want to - and I feel as though like maybe in a couple of weeks I can share what happened and he'll be able to deal with it in an acceptable way."
1000133841.txt,I mean if we can decide we're going drinking or going to a party and get high and we decide that we're going to deal with each other and we're not going to get angry then it's alright.
1000094426.txt,So I feel guilty and I know I shouldn't feel guilty.
1004538594.txt,"So, I was feeling increasingly upset with myself for not getting that done by deadline, and, you know, reverted to a bunch of patterns of, you know, avoidance and fuck it, I've been miserable all day, I deserve to like kick back and have a glass of wine and watch a TV show with my husband, but I deal with school."
1004687686.txt,And I haven't been uncontrollably upset in the last couple of days.
1004687686.txt,It's hard for me to deal with you being depressed.
1003269453.txt,"And because of that it's not - I mean it's a little bit the control, but it's also just like even if he wanted to call anytime he wanted he couldn't, and it's like a stressor."
1000013415.txt,but I don't feel I have consciously tried to avoid you.
1000013415.txt,I mean a lot of (inaudible 28:30) although I wouldn't pretend to be one but I just wish I could help other people deal with those fears.
1000013415.txt,I have control and I have the orders and I can do what I want as long as I am not (inaudible 35:18) my will but I am not going to speed the whole way - I am going to float down.
1000013415.txt,Only when I feel relaxed and in control.
1004503112.txt,"</p> I think he's kind of just saying random crap to make me feel better, like (ph) he didn't want to deal with me being miserable, (pause) which he objected to and said that was not the case at all, but you know."
1004824695.txt,"</p> Yeah, I feel like I should be able to vaguely control at least part of this kind of thing, you know, but I can't."
1004532442.txt,"But, I still felt like I had more control than a completely different person who like, who knows what anyone can say at any given moment."
1004538608.txt,Um (pause) and also feeling like (pause) I manage to.
1004538608.txt,"And I'm saying like well, you know to be honest like I haven't done any massive like career success but I actually feel like well, ya know, I've managed to consistently like get out of bed, feed myself, clothe myself, go to work, ya know, go to school, like."
1004538634.txt,"And so then I, like, you know, usually I come in and I sit with - they're all eating breakfast usually - and so I sit down and I like chat with them but then those mornings when it's like, ""Ugh, why'd you mess that up?"
1004532480.txt,"</p> I don't know, I feel like maybe at least some closure I guess or, having, it just irritates me that he's sitting in this hotel you know, basically not having to deal with anything, uh, normal talks about it you know."
1000016550.txt,"It's bad number two-well, I had these rationalizations lined up, but the big thing was I avoided him for two months because I knew he wanted to press me about asking a girl."
1000094547.txt,"But, you know, and he has to deal with his sister, which I know upsets him even though he loves her."
1000094547.txt,</p> Because it causes me to be anxious and deal with all the things that I am dealing with.
1000094547.txt,"</p> Because I don't feel like I can allow myself to sleep, one."
1000013366.txt,"I made it there and then it was gone but it's symbolic in some respects because I had a lot of really, really, really, really wonderful thoughts in preparation for the session why I was so anxious to get here because -</p> Yeah, something really clicked for me and the two things - I want to kind of deal with the thing that kind of clicked for me and then this phenomenon that I experienced of having these seemingly very, very clear insights that I figure are wonderful organizing principles for my life which don't necessarily stop working but ultimately get superseded weeks or months later by yet another overriding, organizing principle."
1000013372.txt,On Friday there was like a big ordeal with work and I was really angry about.
1004687730.txt,I felt crippled in my ability to deal with people or to talk to people.
1004528625.txt,"I mean not stopped caring about it, but it was like it completely paled in comparison to the feelings that I had about my brother being that drunk and that sad sounding and that out of control, and that I had never - I hadn't heard him say he wanted to kill himself."
1004565043.txt,</p> I'm just annoyed that Doreen is exerting this control and wants it all to be perfect for her.
